Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
CWRMIDPUVA,2026-07-22 15:38:39,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
TMZTORDRRV,2026-07-22 15:38:39,completed,CAM,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
IEAWVJEMTP,2026-07-22 15:37:30,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
FONUZHSOJO,2026-07-21 02:59:32,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
CAGXBNQMPF,2026-07-21 02:59:32,completed,ỔI + DỨA,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
JRCNZQSYTY,2026-07-21 02:59:32,completed,DỨA + CAM,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
QVEJJAQUEB,2026-07-21 02:59:32,completed,DƯA HẤU + CAM,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
SIYUSGGQTA,2026-07-21 02:59:32,completed,DỨA,Size M,4,20000,,,0,0,0,80000,Tiền mặt,NDN,
QHZTMMSZHL,2026-07-21 02:59:32,completed,CAM,Size M,3,25000,,,0,0,0,75000,Tiền mặt,NDN,
GQTAMGEXXP,2026-07-21 02:59:32,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
AREGORKJVE,2026-07-20 02:57:11,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
QQLNYDRVQJ,2026-07-20 02:57:11,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
FGETHPHIHE,2026-07-20 02:57:11,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
QJEVRRQKFY,2026-07-20 02:57:11,completed,DỨA,Size M,3,20000,,,0,0,0,60000,Tiền mặt,NDN,
LDWTHRRQKT,2026-07-20 02:57:11,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
ZXICOIZEOI,2026-07-20 02:57:11,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
EBPUELXLBW,2026-07-20 02:57:11,completed,ỔI + DỨA,Size M,3,25000,,,0,0,0,75000,Tiền mặt,NDN,
WWDFURTKRQ,2026-07-20 02:57:11,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
CGYWVPWITQ,2026-07-20 02:57:11,completed,CAM + CÀ RỐT,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
MCSDEIQHKV,2026-07-20 02:57:11,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
KZMVDHURON,2026-07-20 02:54:56,completed,ỔI,Size M,2,20000,,,0,0,0,40000,Tiền mặt,NDN,
HMFFIVWHZE,2026-07-20 02:54:56,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
GZBCKUFPGW,2026-07-20 02:54:56,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
ILXEUHOYPA,2026-07-20 02:54:56,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
ZOYRJPXRJS,2026-07-20 02:54:56,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
RUUIACTLUJ,2026-07-20 02:54:56,completed,CÀ PHÊ MUỐI,Size M,3,25000,,,0,0,0,75000,Tiền mặt,NDN,
CSUTBMEVUI,2026-07-20 02:54:56,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
DJXKNMSXCU,2026-07-20 02:54:56,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
ZEVLCLHNXN,2026-07-19 02:53:36,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
DAPUGIIRAF,2026-07-19 02:53:36,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
EVCOWBLPUI,2026-07-19 02:53:36,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
YFMLQIUUSE,2026-07-19 02:53:36,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
VGQPBSSEEO,2026-07-19 02:53:36,completed,DỨA + CAM,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
MFANEPYGFY,2026-07-19 02:53:36,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
AJUUZSHIMH,2026-07-19 02:53:36,completed,DƯA HẤU,Size M,4,20000,,,0,0,0,80000,Tiền mặt,NDN,
DPOKABOBXV,2026-07-19 02:53:36,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
OYXFKPDHRP,2026-07-19 02:53:36,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
KOQEKXAKHI,2026-07-19 02:53:36,completed,CÀ PHÊ MUỐI,Size M,4,25000,,,0,0,0,100000,Tiền mặt,NDN,
